cord_uid_a,cord_uid_b,similarity,title_a,title_b
lvi4n41u,cjmodj9y,-0.03150168,Pflegen kann jede*r!,"Cities, Economies and COVID-19 Pandemic"
fxrsgieg,9zhyv1hu,-0.031197114,COVID-19: Was Rheumapatienten jetzt wissen sollten,Considerations for Public Beaches
lvi4n41u,c2io6utd,-0.031001125,Pflegen kann jede*r!,Employment Consequences of COVID-19 for People with Disabilities and Employers
4wcf4z93,8zolpv31,-0.030297466,Acknowledgement to Referees: Acknowledgement to Referees,"Kardiologie: Grenzen überwinden, neue Welten entdecken"
mherdb4v,e69c9wyw,-0.030279243,Lessons for and from COVID‐19 for investors and their advisors,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
8p7vktc7,4wcf4z93,-0.030233504,Keine Wirtschaftlichkeitsprüfungen für 2019: In Rheinland-Pfalz wurde das Ausgabenvolumen eingehalten,Acknowledgement to Referees: Acknowledgement to Referees
vur1c2nf,atva6mfp,-0.029665627,Communicating With Patients and Families During COVID-19,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
lvi4n41u,tatzkeni,-0.02938855,Pflegen kann jede*r!,"Market prices, analysts' predictions, and Covid19"
y8rkyux1,fxrsgieg,-0.029201977,Personal Cleanliness Activities in Preschool Classrooms,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,x6z49rxc,-0.02916785,Pflegen kann jede*r!,"Inflation Expectations in the U.S.: Linking Markets, Households, and Businesses"
e1ztoqwd,fxrsgieg,-0.028723393,Infectious Agents as Potential Drivers of α-Synucleinopathies.,COVID-19: Was Rheumapatienten jetzt wissen sollten
s9qlcamb,mdv578ia,-0.02831201,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,The Second Most Difficult Job in the World
ash0dnc9,4wcf4z93,-0.02791776,Freiheit auf Zeit,Acknowledgement to Referees: Acknowledgement to Referees
ash0dnc9,ewl63b2i,-0.027653433,Freiheit auf Zeit,Manufacturing Workers and Employers
daq0a5sg,4wcf4z93,-0.026830506,Auf dem weiten Weg zu neuen Therapien bei ILD,Acknowledgement to Referees: Acknowledgement to Referees
avobcnzk,ewl63b2i,-0.02659233,Neue Impfempfehlungen - auch zu COVID-19,Manufacturing Workers and Employers
jck9f7nx,fxrsgieg,-0.026156615,Appraisal of cycling and pedestrian projects,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,yvgzkt8a,-0.026061635,Pflegen kann jede*r!,"Journals, Academics, and Pandemics"
8p7vktc7,vur1c2nf,-0.025846057,Keine Wirtschaftlichkeitsprüfungen für 2019: In Rheinland-Pfalz wurde das Ausgabenvolumen eingehalten,Communicating With Patients and Families During COVID-19
lvi4n41u,cir2t25q,-0.025744174,Pflegen kann jede*r!,Keeping the research spotlight on COVID-19
4wcf4z93,fxrsgieg,-0.025729634,Acknowledgement to Referees: Acknowledgement to Referees,COVID-19: Was Rheumapatienten jetzt wissen sollten
mn0isuck,lvi4n41u,-0.024514345,P5‐132: Rehabilitation interventions and tasks for patients with COVID‐19 in our hospital,Pflegen kann jede*r!
fxrsgieg,qgsuky4s,-0.02448681,COVID-19: Was Rheumapatienten jetzt wissen sollten,Extracting sentiments towards COVID-19 aspects
lvi4n41u,tbh2fwk5,-0.024322338,Pflegen kann jede*r!,Secondary Transmission of COVID-19 in K-12 Schools: Findings From Two States
lvi4n41u,3gwru4h0,-0.02432018,Pflegen kann jede*r!,"COVID-19, Security Threats and Public Opinions"
psg0dmmc,fxrsgieg,-0.024168396,Virtual visits: Moving clinical trials visits from clinics to homes,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,jph37bs0,-0.023879848,Pflegen kann jede*r!,"COVID-19: Risk groups, mechanistic insights and challenges"
3e1tb64o,fxrsgieg,-0.023558063,Germplasm Acquisition and Distribution by CGIAR Genebanks,COVID-19: Was Rheumapatienten jetzt wissen sollten
oai3cv0b,s9qlcamb,-0.023383135,Noncompetes in a Downsizing World,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
fxrsgieg,rz4n3tcf,-0.023245435,COVID-19: Was Rheumapatienten jetzt wissen sollten,Cardiological manifestations in patients with COVID-19
lvi4n41u,yet7dqoy,-0.023056295,Pflegen kann jede*r!,Exploring Employability of Business Graduates: Evidence from Woldia University
tk9z2rw0,4wcf4z93,-0.022898074,Morbidität und Letalität einer COVID-19-Erkrankung bei Tumorpatienten,Acknowledgement to Referees: Acknowledgement to Referees
evknjdo8,mherdb4v,-0.022402106,Eine neue Ära beginnt!,Lessons for and from COVID‐19 for investors and their advisors
lvi4n41u,a1xmmqyn,-0.022353249,Pflegen kann jede*r!,Some Concluding Thoughts
g5gy3617,s9qlcamb,-0.02157881,Pharmacists step up to the challenge of COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
v0nebaz1,fxrsgieg,-0.021574924,[In-hospital treatment of COVID-19 patients].,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,ikp2z39k,-0.021554759,COVID-19: Was Rheumapatienten jetzt wissen sollten,Variable importance scores
lvi4n41u,b5d032uv,-0.021545865,Pflegen kann jede*r!,Contributions and Challenges in Health Lifestyles Research.
lvi4n41u,zdd8aq4t,-0.021449812,Pflegen kann jede*r!,Treatment outcomes for COVID-19: a prospective cohort study
mherdb4v,atva6mfp,-0.021261439,Lessons for and from COVID‐19 for investors and their advisors,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
evknjdo8,ewl63b2i,-0.021239728,Eine neue Ära beginnt!,Manufacturing Workers and Employers
lvi4n41u,ikp2z39k,-0.020975573,Pflegen kann jede*r!,Variable importance scores
ezre84xu,fxrsgieg,-0.02090622,"Borders, Immigrants, And Health",COVID-19: Was Rheumapatienten jetzt wissen sollten
4wcf4z93,s9qlcamb,-0.020889184,Acknowledgement to Referees: Acknowledgement to Referees,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,cmi5pizh,-0.02071858,Pflegen kann jede*r!,Clinical Perspectives on the Notion of Presence.
fxrsgieg,tbh2fwk5,-0.020646129,COVID-19: Was Rheumapatienten jetzt wissen sollten,Secondary Transmission of COVID-19 in K-12 Schools: Findings From Two States
mn0isuck,fxrsgieg,-0.020621378,P5‐132: Rehabilitation interventions and tasks for patients with COVID‐19 in our hospital,COVID-19: Was Rheumapatienten jetzt wissen sollten
s3qtlt4o,ewl63b2i,-0.02052989,"Grundrechte in Zeiten von Corona : Zugleich Anmerkung zu BVerfG, Beschl. v. 7.4.2020 ­ 1 BvR 755/20",Manufacturing Workers and Employers
vur1c2nf,fe82q2o1,-0.020344801,Communicating With Patients and Families During COVID-19,Pflegedienstleiter in einer besonderen Zeit
vur1c2nf,fdjsgrfi,-0.02013906,Communicating With Patients and Families During COVID-19,Descifrando la patogenia de la COVID-19
pzxrnuuj,lvi4n41u,-0.020055773,Supporting our Fellows and Members through COVID-19,Pflegen kann jede*r!
fxrsgieg,aoi4iqkf,-0.020017747,COVID-19: Was Rheumapatienten jetzt wissen sollten,Clinical characteristics of 50466 patients with 2019-nCoV infection
k9k9030a,s9qlcamb,-0.01984374,[Immunoendocrinology - issues and challenges of today],Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,x7fmxe0a,-0.019586759,Pflegen kann jede*r!,Covid-19 pandemia: Reasons and indications for reopening education services
nggz2d9j,fxrsgieg,-0.019413238,"The Effects of COVID-19 on U.S. Small Businesses: Evidence from Owners, Managers, and Employees",COVID-19: Was Rheumapatienten jetzt wissen sollten
vur1c2nf,lvi4n41u,-0.019285899,Communicating With Patients and Families During COVID-19,Pflegen kann jede*r!
fu6ruwf0,fxrsgieg,-0.019069746,Focus on fitness . . . and other stories,COVID-19: Was Rheumapatienten jetzt wissen sollten
c41feqvg,fxrsgieg,-0.019067107,"Cities, COVID-19 and Sensibilities: A Kaleidoscope of Experiences",COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,6p1n9zi3,-0.0188973,Pflegen kann jede*r!,Experiences of children (ages 6-12) during COVID-19 pandemic from mothers' perspectives
lvi4n41u,3qf3hqgn,-0.018636266,Pflegen kann jede*r!,"Mapping world scientific collaboration on the research of CoVID-19: Authors, journals, institutions, and countries"
z2ulnfop,ewl63b2i,-0.01820657,Fakten auf einen Blick,Manufacturing Workers and Employers
lvi4n41u,484f1hc2,-0.017953472,Pflegen kann jede*r!,E-Learning during COVID-19: perspectives and experiences of the faculty and students
fxrsgieg,r6s6es18,-0.017780347,COVID-19: Was Rheumapatienten jetzt wissen sollten,Computations with Algebraic Surfaces
g6r9ipf0,fxrsgieg,-0.017769378,"COVID – 19 impacts cities, culture and society",COVID-19: Was Rheumapatienten jetzt wissen sollten
8p7vktc7,mherdb4v,-0.017724922,Keine Wirtschaftlichkeitsprüfungen für 2019: In Rheinland-Pfalz wurde das Ausgabenvolumen eingehalten,Lessons for and from COVID‐19 for investors and their advisors
lvi4n41u,fl06pd3t,-0.017474834,Pflegen kann jede*r!,COVID-19 in children: current evidence and key questions.
lvi4n41u,r53hrkm4,-0.017358726,Pflegen kann jede*r!,Tertiarization of the Economy and its Trade Policy Implications
q5v3w8rm,ewl63b2i,-0.01723834,Das Stethoskop bleibt wichtig — auch in COVID-19-Zeiten: Kein Auslaufmodell,Manufacturing Workers and Employers
lvi4n41u,auvfnrvc,-0.017218705,Pflegen kann jede*r!,Welfare Costs of COVID-19: Evidence from U.S. Counties
lvi4n41u,22ksjktu,-0.016775323,Pflegen kann jede*r!,Findings of Research Misconduct
qs7i57hq,s9qlcamb,-0.01658694,Comparing the Effects of SPOC and Face-to-Face Courses and Factors Influencing the Effects,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
vur1c2nf,e69c9wyw,-0.016576372,Communicating With Patients and Families During COVID-19,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
d7rlj43k,ewl63b2i,-0.016365906,Einladung zu einer Hybrid-Veranstaltung 2022,Manufacturing Workers and Employers
ey7zhmtu,4wcf4z93,-0.016358824,Akupunktur Auch in Covid-19-Zeiten eine Sichere Sache!,Acknowledgement to Referees: Acknowledgement to Referees
5229e2lj,lvi4n41u,-0.016236914,Challenges and Future Directions,Pflegen kann jede*r!
3wopb3vk,z2ulnfop,-0.016199946,Factors predicting readmission in patients with COVID-19,Fakten auf einen Blick
izlpz4qn,fxrsgieg,-0.0161799,Risk Factors for Mortality of COVID-19 Patients,COVID-19: Was Rheumapatienten jetzt wissen sollten
z2ulnfop,rc0nbk07,-0.016142204,Fakten auf einen Blick,Biomarkers and prognostic factors for mesothelioma.
lvi4n41u,acuw5cqe,-0.016132293,Pflegen kann jede*r!,"News, Programs, Publications, and Awards"
rh5vvq4d,4wcf4z93,-0.015867053,Wie lange dauert eine Langzeitanwendung?,Acknowledgement to Referees: Acknowledgement to Referees
s9bgr6mt,fxrsgieg,-0.015738359,Scooting injuries . . . and other stories,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,gz2tuclx,-0.01550242,Pflegen kann jede*r!,"Aspirations, Concerns and Priorities of Families with School-age Children"
mherdb4v,q5v3w8rm,-0.015368799,Lessons for and from COVID‐19 for investors and their advisors,Das Stethoskop bleibt wichtig — auch in COVID-19-Zeiten: Kein Auslaufmodell
s9qlcamb,qh0g5rfh,-0.01532254,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Prioritizing Multidimensional Interdependent Factors Influencing COVID‐19 Risk
lvi4n41u,g0vyzsga,-0.015283924,Pflegen kann jede*r!,Radiographic Findings and other Predictors in Adults with Covid-19
lvi4n41u,pesvr65u,-0.015066628,Pflegen kann jede*r!,Implications of the 2020 Election for U.S. Health Policy
l3tavujs,z2ulnfop,-0.014977981,"Demystifying COVID-19 publications: institutions, journals, concepts, and topics",Fakten auf einen Blick
xijh0s4t,s9qlcamb,-0.01495896,Risk factor analysis of COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
xh55h9lv,lvi4n41u,-0.014880381,Considering network interventions.,Pflegen kann jede*r!
mherdb4v,ey7zhmtu,-0.014869441,Lessons for and from COVID‐19 for investors and their advisors,Akupunktur Auch in Covid-19-Zeiten eine Sichere Sache!
lvi4n41u,xlj31f71,-0.014741593,Pflegen kann jede*r!,The Major Macroeconomic Trends
66mun4ic,s9qlcamb,-0.014726518,Conundrum of COVID-19: The road ahead,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
qqiidqrb,fxrsgieg,-0.014458338,Merging the public and private spheres of women's work: Narratives from women street food vendors during Covid‐19 crisis,COVID-19: Was Rheumapatienten jetzt wissen sollten
s9qlcamb,ml4av0yr,-0.014327385,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Learning from the Past to Face the Worst with Our Best.
fxrsgieg,693r9rey,-0.014319024,COVID-19: Was Rheumapatienten jetzt wissen sollten,Medical emergencies on commercial airline flights.
fxrsgieg,x6z49rxc,-0.014290463,COVID-19: Was Rheumapatienten jetzt wissen sollten,"Inflation Expectations in the U.S.: Linking Markets, Households, and Businesses"
77zkfwr7,ewl63b2i,-0.014276647,Masterplan Rohstoffe 2030 – Eine Rohstoffstrategie für Österreich,Manufacturing Workers and Employers
ewl63b2i,79hf1x4j,-0.0141896345,Manufacturing Workers and Employers,Sind durch COVID-19 (mehr) Patienten mit Hörverlust zu erwarten?
mb2uirm8,fxrsgieg,-0.013988573,The Road Towards 6G: A Comprehensive Survey,COVID-19: Was Rheumapatienten jetzt wissen sollten
l6754c29,fxrsgieg,-0.013759862,Features of α‐HBDH in COVID‐19 patients: A cohort study,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,az2pgmkj,-0.013759862,COVID-19: Was Rheumapatienten jetzt wissen sollten,Features of α-HBDH in COVID-19 patients: A cohort study
9ye3duwr,fxrsgieg,-0.013684692,Heterogeneity of clinical and radiological findings of COVID-19.,COVID-19: Was Rheumapatienten jetzt wissen sollten
gjlrsy91,s9qlcamb,-0.013620802,Science advisers around the world on 2020,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,j58g1t3p,-0.013618567,Pflegen kann jede*r!,Retraction Note to: Chapters
8hn59m77,fxrsgieg,-0.013490609,Longitudinal monitoring of laboratory markers characterizes hospitalized and ambulatory COVID-19 patients,COVID-19: Was Rheumapatienten jetzt wissen sollten
e2qh3xd8,lvi4n41u,-0.013467512,Public health implications of world trade negotiations,Pflegen kann jede*r!
ix8plvil,ewl63b2i,-0.013427032,Kritische Stellungnahme zu einigen Empfehlungen der neuen deutschen S3-Sepsisleitlinie,Manufacturing Workers and Employers
40gnj1yy,lvi4n41u,-0.0133296205,Analysis of information on COVID-19 on websites of public health organizations,Pflegen kann jede*r!
zmjzvihk,e69c9wyw,-0.013168824,Masked Faces with Faced Masks,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
5pp8qvx0,lvi4n41u,-0.013167549,From the editors: research in times of COVID,Pflegen kann jede*r!
6jabzeuf,fxrsgieg,-0.013144591,5PSQ-171 Tocilizumab in patients with COVID-19: results in clinical practice,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,m2xm9coa,-0.012701528,Pflegen kann jede*r!,COVID-19 research outcomes: An agenda for future research
73k939q5,e69c9wyw,-0.012536354,Developmental Manifestations of Grief in Children and Adolescents: Caregivers as Key Grief Facilitators,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
ziashmgo,lvi4n41u,-0.012518641,Women Heads of State and Covid-19 Policy Responses,Pflegen kann jede*r!
blqner0t,4wcf4z93,-0.012480102,"""Von einer COVID-19-Booster-Impfung wird jeder profitieren""",Acknowledgement to Referees: Acknowledgement to Referees
ojtkitu2,e69c9wyw,-0.012460142,Urological issues in cyclists,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
g0vyzsga,fxrsgieg,-0.012368319,Radiographic Findings and other Predictors in Adults with Covid-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
77zkfwr7,4wcf4z93,-0.01234495,Masterplan Rohstoffe 2030 – Eine Rohstoffstrategie für Österreich,Acknowledgement to Referees: Acknowledgement to Referees
h5p71f5t,s9qlcamb,-0.012266037,Meeting the challenge of change.,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
pbtkeetk,fxrsgieg,-0.012235077,Covid-19 pandemy from the perspective of regional children´s clinic,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,g37nuhpl,-0.012193119,Pflegen kann jede*r!,Neuroimaging Findings in Patients with COVID-19
c2io6utd,fxrsgieg,-0.012128785,Employment Consequences of COVID-19 for People with Disabilities and Employers,COVID-19: Was Rheumapatienten jetzt wissen sollten
13i4ajvu,fxrsgieg,-0.0119508905,Clinical manifestations of COVID-19 in Pediatrics,COVID-19: Was Rheumapatienten jetzt wissen sollten
7nwfp13l,fxrsgieg,-0.0118913865,Clinical Experiences for Unvaccinated Nursing Students,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,g04hl2wd,-0.011876179,COVID-19: Was Rheumapatienten jetzt wissen sollten,COVID-19: Small-Molecule Clinical Trials Landscape.
lvi4n41u,9zhyv1hu,-0.011831063,Pflegen kann jede*r!,Considerations for Public Beaches
z2ulnfop,aj4ci6pu,-0.011762669,Fakten auf einen Blick,Biosafety Guidelines for COVID-19 Specimens in Biobanks.
g37nuhpl,atva6mfp,-0.011731724,Neuroimaging Findings in Patients with COVID-19,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
lvi4n41u,kcfm9t42,-0.011719378,Pflegen kann jede*r!,"Melanesia in Review: Issues and Events, 2020"
7j1l9uxj,lvi4n41u,-0.0116641205,"COVID-19 vaccine development: milestones, lessons and prospects",Pflegen kann jede*r!
1gbfvuod,lvi4n41u,-0.0116261905,COVID-19 and Conflict: Major Risks and Policy Responses,Pflegen kann jede*r!
ey7zhmtu,ewl63b2i,-0.011593496,Akupunktur Auch in Covid-19-Zeiten eine Sichere Sache!,Manufacturing Workers and Employers
izlpz4qn,e69c9wyw,-0.0115808165,Risk Factors for Mortality of COVID-19 Patients,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
glqwp1k9,s9qlcamb,-0.011558377,"Part the first, 2020 reflected: individuals",Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
qax68hse,fxrsgieg,-0.01143594,Clinical characteristics and outcomes in patients with COVID-19 and leprosy,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,85bams1o,-0.011435874,Pflegen kann jede*r!,Table of Contents: ChemBioEng Reviews 2/2015
vur1c2nf,jhzajbxc,-0.011387548,Communicating With Patients and Families During COVID-19,Paisaje Después De La Pandemia
lvi4n41u,nggz2d9j,-0.011329062,Pflegen kann jede*r!,"The Effects of COVID-19 on U.S. Small Businesses: Evidence from Owners, Managers, and Employees"
c1jd7qnh,s9qlcamb,-0.011280939,"The World turned Upside Down? Cities, Festivalization and Uncertainty",Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
1wx1kt23,ewl63b2i,-0.011178427,Patienten mit positivem iFOBT müssen rasch zur Koloskopie,Manufacturing Workers and Employers
huvwm9mi,lvi4n41u,-0.011142454,Lessons of the Pandemic for Family and School— The Challenges and Prospects of Network Education,Pflegen kann jede*r!
fxrsgieg,96k16ygd,-0.011122797,COVID-19: Was Rheumapatienten jetzt wissen sollten,Chapter 5: Judging Women
9gsj1k6z,s9qlcamb,-0.010804437,Investment Promotion Agencies in the Time of COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
ix8plvil,mherdb4v,-0.010764433,Kritische Stellungnahme zu einigen Empfehlungen der neuen deutschen S3-Sepsisleitlinie,Lessons for and from COVID‐19 for investors and their advisors
af3ojiob,atva6mfp,-0.010723807,Cerebrovascular events in COVID-19 patients,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
fad7llsg,fxrsgieg,-0.010596861,"Politics, economy, and health: lessons from COVID-19.",COVID-19: Was Rheumapatienten jetzt wissen sollten
l6754c29,atva6mfp,-0.01044759,Features of α‐HBDH in COVID‐19 patients: A cohort study,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
atva6mfp,az2pgmkj,-0.01044759,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur,Features of α-HBDH in COVID-19 patients: A cohort study
cjmodj9y,fxrsgieg,-0.010113718,"Cities, Economies and COVID-19 Pandemic",COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,bnto2xy7,-0.010080555,Pflegen kann jede*r!,COVID‐19 vaccination in children and university students
mq8tqnf0,fxrsgieg,-0.0100736795,Threats to economic security of hotel and restaurant enterprises,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,6oe8nj1j,-0.010063947,COVID-19: Was Rheumapatienten jetzt wissen sollten,Aspects of recent development of immunosensors
vur1c2nf,77zkfwr7,-0.01003869,Communicating With Patients and Families During COVID-19,Masterplan Rohstoffe 2030 – Eine Rohstoffstrategie für Österreich
mherdb4v,79hf1x4j,-0.009933933,Lessons for and from COVID‐19 for investors and their advisors,Sind durch COVID-19 (mehr) Patienten mit Hörverlust zu erwarten?
ojtkitu2,fxrsgieg,-0.009910385,Urological issues in cyclists,COVID-19: Was Rheumapatienten jetzt wissen sollten
